District,Date,Second-hand price (yuan/m²),New house price (yuan/m²),Source URL
嘉定区,2023-01,45978,49468,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-02,45424,46821,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-03,49025,48378,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-04,47095,0,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-05,46345,48399,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-06,46014,48326,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-07,44551,47968,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-08,48721,48296,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-09,46746,48111,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-0份,,,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-10,46213,47735,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-11,46575,47293,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2023-12,47973,49061,https://fangjia.gotohui.com/years/2495/2023/
嘉定区,2024-01,47328,50132,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-02,43687,50187,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-03,45035,51020,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-04,45042,49516,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-05,44543,49158,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-06,45435,47908,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-07,45407,47109,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-08,44327,46825,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-09,42512,46993,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-0份,,,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-10,42821,46845,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-11,42702,47111,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2024-12,43380,47230,https://fangjia.gotohui.com/years/2495/2024/
嘉定区,2025-01,44100,47103,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-02,42666,45026,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-03,43200,47681,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-04,42500,46413,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-05,42900,47644,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-06,41700,47130,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-07,40900,46609,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-08,41200,47387,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-09,41700,46547,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-0份,,,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-10,40000,46154,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-11,39800,45656,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2025-12,41500,46432,https://fangjia.gotohui.com/years/2495/2025/
嘉定区,2026-01,40900,47032,https://fangjia.gotohui.com/fjdata-2495
嘉定区,2026-02,40200,46538,https://fangjia.gotohui.com/fjdata-2495
嘉定区,2026-03,38600,46507,https://fangjia.gotohui.com/fjdata-2495
嘉定区,2026-04,40700,47015,https://fangjia.gotohui.com/fjdata-2495
奉贤区,2023-01,26259,36689,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-02,26673,34588,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-03,25758,32992,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-04,27046,33050,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-05,26943,32951,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-06,26857,32917,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-07,27232,32685,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-08,28133,34383,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-09,27325,32015,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-0份,,,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-10,26917,33168,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-11,27671,33578,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2023-12,26981,32828,https://fangjia.gotohui.com/years/2499/2023/
奉贤区,2024-01,26755,33249,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-02,25081,34601,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-03,25670,35976,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-04,26264,35727,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-05,25348,35023,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-06,26991,35949,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-07,26095,35685,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-08,26321,35264,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-09,25544,35876,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-0份,,,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-10,25706,35178,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-11,25334,35386,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2024-12,25304,35087,https://fangjia.gotohui.com/years/2499/2024/
奉贤区,2025-01,27855,35987,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-02,26075,35103,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-03,27500,36162,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-04,27300,36803,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-05,26600,37920,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-06,27400,37160,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-07,26900,39733,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-08,26000,38972,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-09,24700,39323,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-0份,,,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-10,23900,38939,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-11,24200,37197,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2025-12,24200,37488,https://fangjia.gotohui.com/years/2499/2025/
奉贤区,2026-01,25200,37741,https://fangjia.gotohui.com/fjdata-2499
奉贤区,2026-02,24300,37579,https://fangjia.gotohui.com/fjdata-2499
奉贤区,2026-03,24000,37513,https://fangjia.gotohui.com/fjdata-2499
奉贤区,2026-04,22200,37465,https://fangjia.gotohui.com/fjdata-2499
宝山区,2023-01,50921,59309,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-02,52628,56849,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-03,53400,56033,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-04,54462,0,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-05,52261,55712,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-06,52686,56385,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-07,50172,56258,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-08,52372,55030,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-09,53636,55375,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-0份,,,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-10,53034,54272,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-11,50519,55301,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2023-12,49745,52886,https://fangjia.gotohui.com/years/2501/2023/
宝山区,2024-01,51956,53548,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-02,50576,52563,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-03,49042,52545,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-04,49659,50931,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-05,49455,53078,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-06,49493,52038,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-07,49041,54112,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-08,50145,54046,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-09,48490,51762,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-0份,,,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-10,47739,52942,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-11,48091,54064,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2024-12,46697,52818,https://fangjia.gotohui.com/years/2501/2024/
宝山区,2025-01,47836,53696,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-02,47544,53774,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-03,45300,53393,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-04,45400,56360,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-05,45800,58033,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-06,45300,57975,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-07,44800,58947,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-08,46000,57848,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-09,45800,55999,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-0份,,,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-10,44100,55915,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-11,43400,54868,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2025-12,44200,55866,https://fangjia.gotohui.com/years/2501/2025/
宝山区,2026-01,43900,55509,https://fangjia.gotohui.com/fjdata-2501
宝山区,2026-02,43100,55706,https://fangjia.gotohui.com/fjdata-2501
宝山区,2026-03,42200,55971,https://fangjia.gotohui.com/fjdata-2501
宝山区,2026-04,41400,56240,https://fangjia.gotohui.com/fjdata-2501
崇明区,2023-01,18994,30598,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-02,18980,29361,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-03,18597,28654,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-04,18557,28741,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-05,19269,29047,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-06,18632,29120,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-07,19113,29329,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-08,18082,29667,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-09,18386,28779,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-0份,,,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-10,18691,28729,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-11,17822,28322,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2023-12,17246,29030,https://fangjia.gotohui.com/years/2502/2023/
崇明区,2024-01,17421,29098,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-02,16547,29690,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-03,16653,30064,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-04,18134,29814,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-05,17719,29365,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-06,16711,29070,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-07,16835,28947,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-08,16547,29200,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-09,16236,29374,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-0份,,,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-10,16534,29076,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-11,18329,29148,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2024-12,17945,29134,https://fangjia.gotohui.com/years/2502/2024/
崇明区,2025-01,18440,29139,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-02,17014,29231,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-03,16600,29182,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-04,17500,30223,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-05,18200,29644,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-06,18400,29717,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-07,18000,29719,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-08,17700,31340,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-09,15500,30024,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-0份,,,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-10,17600,30004,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-11,18400,30006,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2025-12,18400,29684,https://fangjia.gotohui.com/years/2502/2025/
崇明区,2026-01,20200,29900,https://fangjia.gotohui.com/fjdata-2502
崇明区,2026-02,18900,29843,https://fangjia.gotohui.com/fjdata-2502
崇明区,2026-03,20400,29717,https://fangjia.gotohui.com/fjdata-2502
崇明区,2026-04,18700,29633,https://fangjia.gotohui.com/fjdata-2502
徐汇区,2023-01,97143,0,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-02,91931,89934,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-03,92874,89817,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-04,93875,89908,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-05,97776,89982,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-06,94007,89811,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-07,92864,89864,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-08,93504,94181,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-09,92615,88320,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-0份,,,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-10,90562,96636,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-11,92143,96877,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2023-12,91793,96897,https://fangjia.gotohui.com/years/2487/2023/
徐汇区,2024-01,94409,96849,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-02,93899,95567,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-03,89612,100547,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-04,85347,94174,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-05,84712,93723,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-06,84922,100115,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-07,84212,96919,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-08,83119,97651,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-09,85475,113639,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-0份,,,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-10,83937,126400,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-11,81263,146121,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2024-12,82479,141233,https://fangjia.gotohui.com/years/2487/2024/
徐汇区,2025-01,84752,120052,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-02,82078,124343,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-03,82400,129026,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-04,82100,138965,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-05,79500,154284,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-06,77800,125528,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-07,78800,126223,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-08,76800,120145,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-09,77700,118324,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-0份,,,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-10,77100,112944,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-11,79200,110893,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2025-12,79100,110891,https://fangjia.gotohui.com/years/2487/2025/
徐汇区,2026-01,83900,138423,https://fangjia.gotohui.com/fjdata-2487
徐汇区,2026-02,77500,138388,https://fangjia.gotohui.com/fjdata-2487
徐汇区,2026-04,83200,138166,https://fangjia.gotohui.com/fjdata-2487
普陀区,2023-01,75687,107210,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-02,74772,115423,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-03,74853,120000,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-04,74671,119802,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-05,75414,119446,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-06,75022,119729,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-07,74506,119049,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-08,74430,113861,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-09,74543,114992,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-0份,,,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-10,72922,116437,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-11,71041,116973,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2023-12,73623,119035,https://fangjia.gotohui.com/years/2490/2023/
普陀区,2024-01,71681,119160,https://fangjia.gotohui.com/years/2490/2024/
